Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	pmaj  Parus major (Great Tit)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	ccae  Cyanistes caeruleus (blue tit)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	ccw  Corvus cornix (hooded crow)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	etl  Empidonax traillii (willow flycatcher)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	fpg  Falco peregrinus (peregrine falcon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	fch  Falco cherrug (Saker falcon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	clv  Columba livia (rock pigeon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	egz  Egretta garzetta (little egret)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	nni  Nipponia nippon (crested ibis)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	acun  Athene cunicularia (burrowing owl)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	padl  Pygoscelis adeliae (Adelie penguin)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	aam  Apteryx mantelli mantelli (brown kiwi)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	asn  Alligator sinensis (Chinese alligator)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	amj  Alligator mississippiensis (American alligator)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	pss  Pelodiscus sinensis (Chinese soft-shelled turtle)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	cmy  Chelonia mydas (green sea turtle)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	cpic  Chrysemys picta (western painted turtle)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	acs  Anolis carolinensis (green anole)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	pvt  Pogona vitticeps (central bearded dragon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	pbi  Python bivittatus (Burmese python)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	pmur  Protobothrops mucrosquamatus (Taiwan habu)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	tsr  Thamnophis sirtalis
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	pmua  Podarcis muralis (common wall lizard)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Reptiles (12)	gja  Gekko japonicus
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Amphibians (3)	xla  Xenopus laevis (African clawed frog)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Amphibians (3)	xtr  Xenopus tropicalis (western clawed frog)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Amphibians (3)	npr  Nanorana parkeri
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	dre  Danio rerio (zebrafish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	srx  Sinocyclocheilus rhinocerous
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	sanh  Sinocyclocheilus anshuiensis
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	sgh  Sinocyclocheilus grahami
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	ccar  Cyprinus carpio (common carp)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	ipu  Ictalurus punctatus (channel catfish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	phyp  Pangasianodon hypophthalmus (striped catfish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	amex  Astyanax mexicanus (Mexican tetra)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	eee  Electrophorus electricus (electric eel)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	tru  Takifugu rubripes (torafugu)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	tng  Tetraodon nigroviridis (spotted green pufferfish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	lco  Larimichthys crocea (large yellow croaker)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	ncc  Notothenia coriiceps (black rockcod)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	mze  Maylandia zebra (zebra mbuna)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	onl  Oreochromis niloticus (Nile tilapia)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	ola  Oryzias latipes (Japanese medaka)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	xma  Xiphophorus maculatus (southern platyfish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	xco  Xiphophorus couchianus (Monterrey platyfish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	pret  Poecilia reticulata (guppy)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	cvg  Cyprinodon variegatus (sheepshead minnow)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	nfu  Nothobranchius furzeri (turquoise killifish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	kmr  Kryptolebias marmoratus (mangrove rivulus)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	alim  Austrofundulus limnaeus (annual killifish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	aoce  Amphiprion ocellaris (clown anemonefish)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	csem  Cynoglossus semilaevis (tongue sole)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	pov  Paralichthys olivaceus (Japanese flounder)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	lcf  Lates calcarifer (barramundi perch)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	sdu  Seriola dumerili (greater amberjack)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	slal  Seriola lalandi dorsalis (Yellowtail amberjack)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	hcq  Hippocampus comes (tiger tail seahorse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	bpec  Boleophthalmus pectinirostris (great blue-spotted mudskipper)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	malb  Monopterus albus (swamp eel)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	sasa  Salmo salar (Atlantic salmon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	otw  Oncorhynchus tshawytscha (Chinook salmon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	salp  Salvelinus alpinus (Arctic char)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	els  Esox lucius (northern pike)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	sfm  Scleropages formosus (Asian bonytongue)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	pki  Paramormyrops kingsleyae
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Fishes (39)	lcm  Latimeria chalumnae (coelacanth)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Cartilaginous fishes (2)	cmk  Callorhinchus milii (elephant shark)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Cartilaginous fishes (2)	rtp  Rhincodon typus (whale shark)
Eukaryotes (542)	Animals (250)	Lancelets (1)	bfo  Branchiostoma floridae (Florida lancelet)
Eukaryotes (542)	Animals (250)	Ascidians (1)	cin  Ciona intestinalis (sea squirt)
Eukaryotes (542)	Animals (250)	Echinoderms (2)	spu  Strongylocentrotus purpuratus (purple sea urchin)
Eukaryotes (542)	Animals (250)	Echinoderms (2)	aplc  Acanthaster planci (crown-of-thorns starfish)
Eukaryotes (542)	Animals (250)	Hemichordates (1)	sko  Saccoglossus kowalevskii (acorn worm)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dme  Drosophila melanogaster (fruit fly)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	der  Drosophila erecta
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dse  Drosophila sechellia
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dsi  Drosophila simulans
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dya  Drosophila yakuba
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dan  Drosophila ananassae
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dsr  Drosophila serrata
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dpo  Drosophila pseudoobscura pseudoobscura
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dpe  Drosophila persimilis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dmn  Drosophila miranda
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dwi  Drosophila willistoni
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dgr  Drosophila grimshawi
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dmo  Drosophila mojavensis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	daz  Drosophila arizonae
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dnv  Drosophila navojoa
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dhe  Drosophila hydei
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dvi  Drosophila virilis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	mde  Musca domestica (house fly)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	lcq  Lucilia cuprina (Australian sheep blowfly)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	aga  Anopheles gambiae (mosquito)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	aag  Aedes aegypti (yellow fever mosquito)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	aalb  Aedes albopictus (Asian tiger mosquito)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	cqu  Culex quinquefasciatus (southern house mosquito)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	ame  Apis mellifera (honey bee)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	bim  Bombus impatiens (common eastern bumble bee)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	bter  Bombus terrestris (buff-tailed bumblebee)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	ccal  Ceratina calcarata (carpenter bee)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	obb  Osmia bicornis bicornis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	soc  Solenopsis invicta (red fire ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	mpha  Monomorium pharaonis (pharaoh ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	aec  Acromyrmex echinatior (Panamanian leafcutter ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	acep  Atta cephalotes (leaf cutting ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	pbar  Pogonomyrmex barbatus (red harvester ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	vem  Vollenhovia emeryi
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	hst  Harpegnathos saltator (Jerdon's jumping ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dqu  Dinoponera quadriceps
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	cfo  Camponotus floridanus (Florida carpenter ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	lhu  Linepithema humile (Argentine ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	pgc  Pseudomyrmex gracilis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	obo  Ooceraea biroi (clonal raider ant)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	pcf  Polistes canadensis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	nvi  Nasonia vitripennis (jewel wasp)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	csol  Ceratosolen solmsi marchali
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	mdl  Microplitis demolitor
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	tca  Tribolium castaneum (red flour beetle)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dpa  Dendroctonus ponderosae (mountain pine beetle)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	atd  Aethina tumida (small hive beetle)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	nvl  Nicrophorus vespilloides
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	bmor  Bombyx mori (domestic silkworm)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	bman  Bombyx mandarina (wild silkworm)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dpl  Danaus plexippus (monarch butterfly)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	pmac  Papilio machaon (common yellow swallowtail)
